ID	s	d	TTL	size	genT
245	2	4	60	40	389
246	0	4	60	40	392
247	2	4	60	60	397
248	0	3	60	20	396
249	0	4	60	20	396
250	2	4	60	40	397
251	2	5	60	40	406
252	0	3	60	40	406
253	1	4	60	40	408
254	0	4	60	20	407
255	0	3	60	60	410
256	1	4	60	60	406
257	2	3	60	20	409
258	0	5	60	40	407
